<rne_pdf>
@   idx          name                   axis       1              2             3              4             5             6             7            8             9            10             11            12            13             14             15            16            17            18             19           20            21            22             23            24             25            26             27            28            29             30             31            32             33            34            35             36            37            38            39             40             41            42            43             44            45            46             47            48            49            50            51             52            53            54            55            56            57            58            59             60            61            62            63             64           65            66            67             68             69            70            71             72            73            74            75           76              77            78            79            80            81             82            83            84             85             86             87           88            89           90           91             92           93            94            95           96            97            98            99            100           
#   1            漫湾电厂               x_axis     1.45900        1.61076       1.76252        1.91427       2.06603       2.21779       2.36955      2.52130       2.67306      2.82482        2.97658       3.12833       3.28009        3.43185        3.58361       3.73536       3.88712       4.03888        4.19064      4.34239       4.49415       4.64591        4.79767       4.94942        5.10118       5.25294        5.40470       5.55645       5.70821        5.85997        6.01173       6.16348        6.31524       6.46700       6.61876        6.77052       6.92227       7.07403       7.22579        7.37755        7.52930       7.68106       7.83282        7.98458       8.13633       8.28809        8.43985       8.59161       8.74336       8.89512       9.04688        9.19864       9.35039       9.50215       9.65391       9.80567       9.95742       10.10918      10.26094       10.41270      10.56445      10.71621      10.86797       11.01973     11.17148      11.32324      11.47500       11.62676       11.77852      11.93027      12.08203       12.23379      12.38555      12.53730      12.68906     12.84082        12.99258      13.14433      13.29609      13.44785      13.59961       13.75136      13.90312      14.05488       14.20664       14.35839       14.51015     14.66191      14.81367     14.96542     15.11718       15.26894     15.42070      15.57245      15.72421     15.87597      16.02773      16.17948      16.33124      16.48300      
#   1            漫湾电厂               y_axis     0.01373        0.13728       0.00000        0.08237       0.17846       0.09610       0.31574      0.45303       0.02746      0.00000        0.01373       0.21965       0.10982        0.00000        0.05491       0.09610       0.05491       0.01373        0.12355      0.01373       0.04118       0.13728        0.05491       0.05491        0.12355       0.02746        0.06864       0.05491       0.02746        0.00000        0.05491       0.06864        0.01373       0.05491       0.04118        0.01373       0.04118       0.04118       0.05491        0.06864        0.12355       0.04118       0.02746        0.01373       0.09610       0.01373        0.09610       0.05491       0.01373       0.05491       0.04118        0.09610       0.08237       0.08237       0.08237       0.04118       0.09610       0.31574       0.06864        0.06864       0.08237       0.08237       0.08237        0.02746      0.02746       0.06864       0.04118        0.05491        0.02746       0.05491       0.15101        0.10982       0.10982       0.12355       0.05491      0.06864         0.12355       0.09610       0.06864       0.06864       0.02746        0.04118       0.04118       0.02746        0.09610        0.02746        0.01373      0.01373       0.01373      0.02746      0.02746        0.00000      0.06864       0.04118       0.00000      0.00000       0.00000       0.01373       0.01373       0.01373       
#   2            鲁布革电厂             x_axis     0.99400        1.03242       1.07085        1.10927       1.14770       1.18612       1.22455      1.26297       1.30139      1.33982        1.37824       1.41667       1.45509        1.49352        1.53194       1.57036       1.60879       1.64721        1.68564      1.72406       1.76248       1.80091        1.83933       1.87776        1.91618       1.95461        1.99303       2.03145       2.06988        2.10830        2.14673       2.18515        2.22358       2.26200       2.30042        2.33885       2.37727       2.41570       2.45412        2.49255        2.53097       2.56939       2.60782        2.64624       2.68467       2.72309        2.76152       2.79994       2.83836       2.87679       2.91521        2.95364       2.99206       3.03048       3.06891       3.10733       3.14576       3.18418       3.22261        3.26103       3.29945       3.33788       3.37630        3.41473      3.45315       3.49158       3.53000        3.56842        3.60685       3.64527       3.68370        3.72212       3.76055       3.79897       3.83739      3.87582         3.91424       3.95267       3.99109       4.02952       4.06794        4.10636       4.14479       4.18321        4.22164        4.26006        4.29848      4.33691       4.37533      4.41376      4.45218        4.49061      4.52903       4.56745       4.60588      4.64430       4.68273       4.72115       4.75958       4.79800       
#   2            鲁布革电厂             y_axis     0.05422        5.74724       3.84957        0.27110       0.00000       0.00000       0.00000      0.00000       0.00000      0.00000        0.00000       0.00000       0.00000        5.31349        2.54830       0.05422       0.00000       0.00000        0.00000      0.00000       0.00000       0.00000        0.16266       0.00000        0.10844       0.10844        0.05422       0.00000       0.00000        0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.05422        0.54219       4.50020       0.97595       0.05422       0.00000        0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       0.05422        0.37953        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.05422      0.00000         0.00000       0.00000       0.00000       0.05422       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000        0.00000      0.00000       0.00000      0.00000      0.00000        0.00000      0.00000       0.00000       0.00000      0.00000       0.00000       0.05422       0.92173       0.10844       
#   3            小湾电厂               x_axis     1.35800        1.69932       2.04065        2.38197       2.72329       3.06462       3.40594      3.74726       4.08859      4.42991        4.77123       5.11256       5.45388        5.79520        6.13653       6.47785       6.81917       7.16049        7.50182      7.84314       8.18446       8.52579        8.86711       9.20843        9.54976       9.89108        10.23240      10.57373      10.91505       11.25637       11.59770      11.93902       12.28034      12.62167      12.96299       13.30431      13.64564      13.98696      14.32828       14.66961       15.01093      15.35225      15.69358       16.03490      16.37622      16.71754       17.05887      17.40019      17.74151      18.08284      18.42416       18.76548      19.10681      19.44813      19.78945      20.13078      20.47210      20.81342      21.15475       21.49607      21.83739      22.17872      22.52004       22.86136     23.20269      23.54401      23.88533       24.22666       24.56798      24.90930      25.25063       25.59195      25.93327      26.27459      26.61592     26.95724        27.29856      27.63989      27.98121      28.32253      28.66386       29.00518      29.34650      29.68783       30.02915       30.37047       30.71180     31.05312      31.39444     31.73577     32.07709       32.41841     32.75974      33.10106      33.44238     33.78371      34.12503      34.46635      34.80768      35.14900      
#   3            小湾电厂               y_axis     0.00610        0.18311       0.00610        0.00000       0.00000       0.00000       0.00000      0.00000       0.00000      0.00000        0.00000       0.27467       0.01221        0.00000        0.11597       0.00000       0.00610       0.12207        0.01221      0.00000       0.00610       0.00610        0.01831       0.00000        0.00000       0.01831        0.12818       0.01831       0.00000        0.00000        0.00610       0.01221        0.02441       0.00610       0.00610        0.00000       0.00000       0.01831       0.00610        0.02441        0.01831       0.01221       0.01221        0.01221       0.00000       0.00000        0.00000       0.00000       0.01221       0.01831       0.01221        0.00610       0.00000       0.00610       0.01831       0.03662       0.01831       0.00610       0.00610        0.00610       0.00610       0.00610       0.00000        0.00610      0.01831       0.00610       0.00000        0.00610        0.00000       0.00610       0.10987        0.00000       0.00000       0.02441       0.01221      0.00610         0.02441       0.01221       0.03052       0.01831       0.01221        0.00000       0.01221       0.00610        0.01831        0.00610        0.00610      0.00000       0.00610      0.00000      0.01831        0.00610      0.00000       0.01221       0.00610      0.01221       0.00610       0.01221       0.04273       1.21464       
#   4            以礼河电厂             x_axis     0.44400        0.46992       0.49584        0.52176       0.54768       0.57360       0.59952      0.62543       0.65135      0.67727        0.70319       0.72911       0.75503        0.78095        0.80687       0.83279       0.85871       0.88463        0.91055      0.93646       0.96238       0.98830        1.01422       1.04014        1.06606       1.09198        1.11790       1.14382       1.16974        1.19566        1.22158       1.24749        1.27341       1.29933       1.32525        1.35117       1.37709       1.40301       1.42893        1.45485        1.48077       1.50669       1.53261        1.55853       1.58444       1.61036        1.63628       1.66220       1.68812       1.71404       1.73996        1.76588       1.79180       1.81772       1.84364       1.86956       1.89547       1.92139       1.94731        1.97323       1.99915       2.02507       2.05099        2.07691      2.10283       2.12875       2.15467        2.18059        2.20651       2.23242       2.25834        2.28426       2.31018       2.33610       2.36202      2.38794         2.41386       2.43978       2.46570       2.49162       2.51754        2.54345       2.56937       2.59529        2.62121        2.64713        2.67305      2.69897       2.72489      2.75081      2.77673        2.80265      2.82857       2.85448       2.88040      2.90632       2.93224       2.95816       2.98408       3.01000       
#   4            以礼河电厂             y_axis     0.08038        0.16076       0.80378        2.49172       0.24113       0.16076       2.00945      1.52718       0.40189      0.08038        0.00000       0.00000       0.16076        0.32151        0.08038       0.00000       0.16076       0.16076        0.16076      0.08038       0.16076       0.48227        2.33096       0.08038        0.08038       0.16076        0.00000       0.16076       0.08038        0.16076        0.16076       0.00000        0.24113       0.08038       0.00000        0.16076       0.00000       0.00000       0.08038        0.08038        0.08038       0.96454       0.64302        0.72340       0.32151       0.08038        0.08038       0.24113       0.24113       0.16076       0.24113        0.00000       0.00000       0.16076       0.24113       0.16076       0.00000       0.24113       0.08038        0.08038       1.12529       3.05436       0.16076        0.00000      0.00000       0.32151       0.08038        0.00000        0.16076       0.16076       0.08038        0.08038       0.32151       0.16076       0.00000      0.08038         0.08038       0.00000       0.08038       1.04491       7.55553        0.24113       0.00000       0.24113        0.08038        0.00000        0.00000      0.08038       0.00000      0.24113      0.48227        0.00000      0.00000       0.00000       0.16076      0.00000       0.08038       0.48227       1.76832       1.84869       
#   5            六郎洞电厂             x_axis     0.19900        0.19906       0.19912        0.19918       0.19924       0.19930       0.19936      0.19942       0.19948      0.19955        0.19961       0.19967       0.19973        0.19979        0.19985       0.19991       0.19997       0.20003        0.20009      0.20015       0.20021       0.20027        0.20033       0.20039        0.20045       0.20052        0.20058       0.20064       0.20070        0.20076        0.20082       0.20088        0.20094       0.20100       0.20106        0.20112       0.20118       0.20124       0.20130        0.20136        0.20142       0.20148       0.20155        0.20161       0.20167       0.20173        0.20179       0.20185       0.20191       0.20197       0.20203        0.20209       0.20215       0.20221       0.20227       0.20233       0.20239       0.20245       0.20252        0.20258       0.20264       0.20270       0.20276        0.20282      0.20288       0.20294       0.20300        0.20306        0.20312       0.20318       0.20324        0.20330       0.20336       0.20342       0.20348      0.20355         0.20361       0.20367       0.20373       0.20379       0.20385        0.20391       0.20397       0.20403        0.20409        0.20415        0.20421      0.20427       0.20433      0.20439      0.20445        0.20452      0.20458       0.20464       0.20470      0.20476       0.20482       0.20488       0.20494       0.20500       
#   5            六郎洞电厂             y_axis     34.37502       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000       0.00000      0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000       2578.12618     0.00000      0.00000       0.00000       0.00000        0.00000       0.00000        0.00000       0.00000        0.00000       0.00000       0.00000        0.00000        0.00000       0.00000        0.00000       0.00000       1168.75053     0.00000       0.00000       0.00000       0.00000        0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000       2784.37627     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000        0.00000      0.00000       0.00000       9281.25424     0.00000        0.00000       0.00000       0.00000        0.00000       0.00000       0.00000       0.00000      0.00000         0.00000       0.00000       0.00000       0.00000       0.00000        0.00000       0.00000       618.75028      0.00000        0.00000        0.00000      0.00000       0.00000      0.00000      0.00000        0.00000      0.00000       0.00000       0.00000      0.00000       0.00000       0.00000       0.00000       34.37502      
